WEEK_AND_RANK,RESULTS_BESTSELLERS_DATE,API_CALL_TIMESTAMP,AGE_GROUP,AMAZON_PRODUCT_URL,ARTICLE_CHAPTER_LINK,ASTERISK,AUTHOR,BOOK_IMAGE,BOOK_IMAGE_HEIGHT,BOOK_IMAGE_WIDTH,BOOK_REVIEW_LINK,BOOK_URI,BUY_LINKS_0_NAME,BUY_LINKS_0_URL,BUY_LINKS_1_NAME,BUY_LINKS_1_URL,BUY_LINKS_2_NAME,BUY_LINKS_2_URL,BUY_LINKS_3_NAME,BUY_LINKS_3_URL,BUY_LINKS_4_NAME,BUY_LINKS_4_URL,CONTRIBUTOR,CONTRIBUTOR_NOTE,DAGGER,DESCRIPTION,FIRST_CHAPTER_LINK,ISBNS_0_ISBN10,ISBNS_0_ISBN13,ISBNS_1_ISBN10,ISBNS_1_ISBN13,ISBNS_2_ISBN10,ISBNS_2_ISBN13,ISBNS_3_ISBN10,ISBNS_3_ISBN13,ISBNS_4_ISBN10,ISBNS_4_ISBN13,ISBNS_5_ISBN10,ISBNS_5_ISBN13,PRICE,PRIMARY_ISBN10,PRIMARY_ISBN13,PUBLISHER,RANK,RANK_LAST_WEEK,SUNDAY_REVIEW_LINK,TITLE,WEEKS_ON_LIST
2025-01-11__1,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20,,0,Rebecca Yarros,https://storage.googleapis.com/du-prd/books/images/9781649374042.jpg,500,309,,nyt://book/017bca50-9a0e-5f37-b0fe-5b58fabb0fa7,Amazon,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781649377371?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781649377371,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFOURTH%2BWING%2FRebecca%2BYarros%2F9781649377371,Bookshop.org,https://bookshop.org/a/3546/9781649377371,by Rebecca Yarros,,0,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",,1649374046,9781649374042,1649374089,9781649374080,1705085059,9781705085059,1705085032,9781705085035,1649376162,9781649376169,1649377371,9781649377371,0.00,1649377371,9781649377371,Red Tower,1,4,,FOURTH WING,77
2025-01-11__3,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1538742578?tag=thenewyorktim-20,,0,Freida McFadden,https://storage.googleapis.com/du-prd/books/images/9781538742570.jpg,500,333,,nyt://book/34b29640-4b8c-59a9-8cf8-470356da1e2f,Amazon,https://www.amazon.com/dp/1538742578?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781538742570?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538742570,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BHOUSEMAID%2FFreida%2BMcFadden%2F9781538742570,Bookshop.org,https://bookshop.org/a/3546/9781538742570,by Freida McFadden,,0,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,,1538742578,9781538742570,1538768542,9781538768549,1803144386,9781803144382,,,,,,,0.00,1538742578,9781538742570,Grand Central,3,3,,THE HOUSEMAID,79
2025-01-11__2,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20,,0,Rebecca Yarros,https://storage.googleapis.com/du-prd/books/images/9781649374172.jpg,500,309,,nyt://book/d3c570c9-3c3a-5c8b-a740-85ea5e92bfc9,Amazon,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781649374172?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781649374172,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FIRON%2BFLAME%2FRebecca%2BYarros%2F9781649374172,Bookshop.org,https://bookshop.org/a/3546/9781649374172,by Rebecca Yarros,,0,The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.,,1649374178,9781649374172,1705085083,9781705085080,,,,,,,,,0.00,1649374178,9781649374172,Red Tower,2,6,,IRON FLAME,51
2025-01-11__4,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0316569976?tag=thenewyorktim-20,,0,James Patterson and Brian Sitts,https://storage.googleapis.com/du-prd/books/images/9780316569972.jpg,500,323,,nyt://book/32af288c-fea5-5d31-a307-b278ff505f98,Amazon,https://www.amazon.com/dp/0316569976?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780316569965?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316569965,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHOLMES%2BIS%2BMISSING%2FJames%2BPatterson%2Band%2BBrian%2BSitts%2F9780316569965,Bookshop.org,https://bookshop.org/a/3546/9780316569965,by James Patterson and Brian Sitts,,0,"The second book in the Holmes, Margaret & Poe series. A series of child abductions perplexes the private investigators.",,0316569976,9780316569972,0316569968,9780316569965,,,,,,,,,0.00,0316569968,9780316569965,"Little, Brown",4,0,,HOLMES IS MISSING,1
2025-01-11__6,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1250178630?tag=thenewyorktim-20,,0,Kristin Hannah,https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg,500,333,,nyt://book/9ce735af-71cf-5ff3-a367-43ee07e3fdd7,Amazon,https://www.amazon.com/dp/1250178630?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781250178633?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250178633,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BWOMEN%2FKristin%2BHannah%2F9781250178633,Bookshop.org,https://bookshop.org/a/3546/9781250178633,by Kristin Hannah,,0,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",,1250178630,9781250178633,1250178657,9781250178657,,,,,,,,,0.00,1250178630,9781250178633,St. Martin's,6,5,,THE WOMEN,49
2025-01-11__5,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20,,0,Percival Everett,https://storage.googleapis.com/du-prd/books/images/9780385550369.jpg,500,333,,nyt://book/5788b098-426a-5f2c-a318-475692df69ee,Amazon,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780385550369?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385550369,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FJAMES%2FPercival%2BEverett%2F9780385550369,Bookshop.org,https://bookshop.org/a/3546/9780385550369,by Percival Everett,,0,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",,0385550367,9780385550369,0385550375,9780385550376,0593821254,9780593821251,,,,,,,0.00,0385550367,9780385550369,Doubleday,5,1,,JAMES,12
2025-01-11__7,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/059349864X?tag=thenewyorktim-20,,0,Danielle Steel,https://storage.googleapis.com/du-prd/books/images/9780593498644.jpg,500,328,,nyt://book/49501fd5-1542-54d7-8a4d-81e0277adb2d,Amazon,https://www.amazon.com/dp/059349864X?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780593498644?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593498644,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNEVER%2BSAY%2BNEVER%2FDanielle%2BSteel%2F9780593498644,Bookshop.org,https://bookshop.org/a/3546/9780593498644,by Danielle Steel,,0,A woman reeling from her husband’s infidelity and the loss of her job meets a well-known actor in the French countryside.,,059349864X,9780593498644,0593498658,9780593498651,,,,,,,,,0.00,059349864X,9780593498644,Delacorte,7,0,,NEVER SAY NEVER,1
2025-01-11__9,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0593418913?tag=thenewyorktim-20,,0,Liz Moore,https://storage.googleapis.com/du-prd/books/images/9780593418918.jpg,500,331,,nyt://book/76d129f6-ab9c-591c-b25e-9a2758250c07,Amazon,https://www.amazon.com/dp/0593418913?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780593418918?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593418918,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BGOD%2BOF%2BTHE%2BWOODS%2FLiz%2BMoore%2F9780593418918,Bookshop.org,https://bookshop.org/a/3546/9780593418918,by Liz Moore,,0,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",,0593418913,9780593418918,059341893X,9780593418932,0593867793,9780593867792,,,,,,,0.00,0593418913,9780593418918,Riverhead,9,7,,THE GOD OF THE WOODS,11
2025-01-11__8,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0593312074?tag=thenewyorktim-20,,0,Ariel Lawhon,https://storage.googleapis.com/du-prd/books/images/9780593312070.jpg,500,323,,nyt://book/2a0c10aa-2093-5898-977d-e7852f8717a4,Amazon,https://www.amazon.com/dp/0593312074?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780593312070?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593312070,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BFROZEN%2BRIVER%2FAriel%2BLawhon%2F9780593312070,Bookshop.org,https://bookshop.org/a/3546/9780593312070,by Ariel Lawhon,,0,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",,0593312074,9780593312070,0385546882,9780385546881,0385546874,9780385546874,,,,,,,0.00,0593312074,9780593312070,Vintage,8,9,,THE FROZEN RIVER,8
2025-01-11__10,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0593723694?tag=thenewyorktim-20,,0,Sarah Adams,https://storage.googleapis.com/du-prd/books/images/9780593723692.jpg,500,320,,nyt://book/c9e21931-69f8-5f0d-b66f-f88a6d165388,Amazon,https://www.amazon.com/dp/0593723694?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780593723692?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593723692,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBEG%252C%2BBORROW%252C%2BOR%2BSTEAL%2FSarah%2BAdams%2F9780593723692,Bookshop.org,https://bookshop.org/a/3546/9780593723692,by Sarah Adams,,0,The third book in the When in Rome series. Two feuding second-grade teachers form an alliance that may lead to more.,,0593723694,9780593723692,0593723708,9780593723708,0593977149,9780593977149,,,,,,,0.00,0593723694,9780593723692,Delacorte,10,0,,"BEG, BORROW, OR STEAL",1
2025-01-11__12,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/0593819608?tag=thenewyorktim-20,,0,Christine Feehan,https://storage.googleapis.com/du-prd/books/images/9780593819623.jpg,500,331,,nyt://book/42834d40-8622-5f9e-879c-459046f5726a,Amazon,https://www.amazon.com/dp/0593819608?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9780593819623?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593819623,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDARK%2BHOPE%2FChristine%2BFeehan%2F9780593819623,Bookshop.org,https://bookshop.org/a/3546/9780593819623,by Christine Feehan,,0,The 38th book in the Carpathian series. Will Benedek and Silke defeat an adversary bent on destruction?,,0593819624,9780593819623,0593819608,9780593819609,,,,,,,,,0.00,0593819624,9780593819623,Berkley,12,0,,DARK HOPE,1
2025-01-11__11,2025-01-11,2025-01-17 13:58:10.000,,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=thenewyorktim-20,,0,Kristin Hannah,https://storage.googleapis.com/du-prd/books/images/9781466850606.jpg,195,128,,nyt://book/8a85f33a-5d68-560b-9eb4-6979ba3331bc,Amazon,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781250080400?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250080400,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BNIGHTINGALE%2FKristin%2BHannah%2F9781250080400,Bookshop.org,https://bookshop.org/a/3546/9781250080400,by Kristin Hannah,,0,"Two sisters are separated in World War II France: one in the countryside, the other in Paris.",,0312577222,9780312577223,1466850604,9781466850606,1628995017,9781628995015,1250080401,9781250080400,,,,,0.00,1250080401,9781250080400,St. Martin's,11,13,,THE NIGHTINGALE,67
2025-01-11__13,2025-01-11,2025-01-17 13:58:10.000,,http://www.amazon.com/Court-Thorns-Roses-Sarah-Maas-ebook/dp/B00OZP5VRS?tag=thenewyorktim-20,,0,Sarah J. Maas,https://storage.googleapis.com/du-prd/books/images/9781619634459.jpg,495,326,,nyt://book/cc163d0f-b8a2-573c-8e81-d804ac7844af,Amazon,http://www.amazon.com/Court-Thorns-Roses-Sarah-Maas-ebook/dp/B00OZP5VRS?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781635575569?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781635575569,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BCOURT%2BOF%2BTHORNS%2BAND%2BROSES%2FSarah%2BJ.%2BMaas%2F9781635575569,Bookshop.org,https://bookshop.org/a/3546/9781635575569,by Sarah J. Maas,,0,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",,1619634457,9781619634459,1547604174,9781547604173,1635575567,9781635575569,1635575559,9781635575552,,,,,0.00,1635575567,9781635575569,Bloomsbury,13,8,,A COURT OF THORNS AND ROSES,40
2025-01-11__15,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,,0,Alison Espach,https://storage.googleapis.com/du-prd/books/images/9781250899576.jpg,500,329,,nyt://book/3599f378-a78c-574d-b41e-dc0b81871f59,Amazon,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781250899569?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250899569,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BWEDDING%2BPEOPLE%2FAlison%2BEspach%2F9781250899569,Bookshop.org,https://bookshop.org/a/3546/9781250899569,by Alison Espach,,0,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.,,1250899575,9781250899576,1250899567,9781250899569,1420514725,9781420514728,1250899559,9781250899552,,,,,0.00,1250899567,9781250899569,Holt,15,11,,THE WEDDING PEOPLE,7
2025-01-11__14,2025-01-11,2025-01-17 13:58:10.000,,https://www.amazon.com/dp/1649377509?tag=thenewyorktim-20,,0,Mai Corland,https://storage.googleapis.com/du-prd/books/images/9781649377500.jpg,500,312,,nyt://book/8402b692-fa56-5ce6-8b45-44e7470ac1f3,Amazon,https://www.amazon.com/dp/1649377509?tag=thenewyorktim-20,Apple Books,https://goto.applebooks.apple/9781649377500?at=10lIEQ,Barnes and Noble,https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781649377500,Books-A-Million,https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFOUR%2BRUINED%2BREALMS%2FMai%2BCorland%2F9781649377500,Bookshop.org,https://bookshop.org/a/3546/9781649377500,by Mai Corland,,0,The second book in the Broken Blades series. Trust is tested in the pursuit of the Golden Ring of the Dragon Lord.,,1649377509,9781649377500,1649377517,9781649377517,,,,,,,,,0.00,1649377509,9781649377500,Red Tower,14,0,,FOUR RUINED REALMS,1
